,Client Numbers,Client Names,
0,12125096200,"Physicians Health Group of Kentucky, PLLC",
1,15023833222,"Physicians Health Group of Kentucky, PLLC",
2,15027590386,"Physicians Health Group of Kentucky, PLLC",
3,15132834732,"Physicians Health Group of Kentucky, PLLC",
4,15023701062,"Physicians Health Group of Kentucky, PLLC",
5,13469882774,"Physicians Health Group of Kentucky, PLLC",
6,17186849298,"Physicians Health Group of Kentucky, PLLC",
7,13462202102,"Physicians Health Group of Kentucky, PLLC",
8,15022493033,"Physicians Health Group of Kentucky, PLLC",
9,13464565046,"Physicians Health Group of Kentucky, PLLC",
10,13463848844,"Physicians Health Group of Kentucky, PLLC",
11,19152529294,"Physicians Health Group of Kentucky, PLLC",
12,18596196227,Physicians Healthgroup of Lexington,
13,18596879456,Physicians Healthgroup of Lexington,
14,18599558595,Physicians Healthgroup of Lexington,
15,18594330093,Physicians Healthgroup of Lexington,
16,18594895074,Physicians Healthgroup of Lexington,
17,13465700598,Physicians Healthgroup of Lexington,
18,13462203238,Active Life Health of NY PC,
19,16313337322,Active Life Health of NY PC,
20,13462203355,Active Life Health of NY PC,
21,16312454881,Active Life Health of NY PC,
22,19173714101,Active Life Health of NY PC,
23,13464433620,Active Life Health of NY PC,
24,17323596753,Medical Office of New Jersey Shore LLC,
25,17329740044,Medical Office of New Jersey Shore LLC,
26,13462203310,Medical Office of New Jersey Shore LLC,
27,17323597125,Medical Office of New Jersey Shore LLC,
28,19086927609,Medical Office of New Jersey Shore LLC,
29,19082163272,Medical Office of New Jersey Shore LLC,
30,18034762498,Medical Office of New Jersey Shore LLC,
31,16319948882,Medical Office of New Jersey Shore LLC,
32,17326556111,Medical Office of New Jersey Shore LLC,
33,18482607020,Medical Office of New Jersey Shore LLC,
34,13464233221,Medical Office of New Jersey Shore LLC,
35,12148129770,"Arthritis Care of Texas, PLLC",
36,12148129795,"Arthritis Care of Texas, PLLC",
37,19728164628,"Arthritis Care of Texas, PLLC",
38,19729987151,"Arthritis Care of Texas, PLLC",
39,19727411555,"Arthritis Care of Texas, PLLC",
40,13462482388,"Arthritis Care of Texas, PLLC",
41,13109354920,Arizona Health Services LLC  CC Name: AKPC Arizona,
42,16029562095,Arizona Health Services LLC  CC Name: AKPC Arizona,
43,13462755094,Arizona Health Services LLC  CC Name: AKPC Arizona,
44,13462202388,Arizona Health Services LLC  CC Name: AKPC Arizona,
45,13462061993,Arizona Health Services LLC  CC Name: AKPC Arizona,
46,13464368272,Arizona Health Services LLC  CC Name: AKPC Arizona,
47,18326784942,Arizona Health Services LLC  CC Name: AKPC Arizona,
48,18324944257,Arizona Health Services LLC  CC Name: AKPC Arizona,
