Client Names,Client Numbers
PRINE HEALTH MEDICAL GROUP PLLC,5164072727.0
"PRINE HEALTH MEDICAL GROUP PLLC, .NSN NORTH SHORE NEPHROLOGY",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, .NN NASSAU NEPHROLOGY",5164090106
"PRINE HEALTH MEDICAL GROUP PLLC, .IRP A ISLAND RENAL PHYSICIANS",5167647070
"PRINE HEALTH MEDICAL GROUP PLLC, .IRP B ISLAND RENAL PHYSICIANS",5167647070
"PRINE HEALTH MEDICAL GROUP PLLC, .RCA RENAL CARE ASSOCIATES",5167645807
"PRINE HEALTH MEDICAL GROUP PLLC, .LS LOUIS SWARTZ",5165463676
"PRINE HEALTH MEDICAL GROUP PLLC, .LR LANCE RUBEL",5168016959
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Bayside Dialysis",7184236638
"PRINE HEALTH MEDICAL GROUP PLLC, NSN CECR North Shore University",5165628000
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Julia Israel Waldbaum Dialysis",5164658250
"PRINE HEALTH MEDICAL GROUP PLLC, NSN LIJ Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN LIJ Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN LIJ Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN LIJ Medical Center Dialysis",5168766000
"PRINE HEALTH MEDICAL GROUP PLLC, NSN NHP Dialysis",5163275555
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Northwell Health ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Northwell Health IP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Northwell Health OP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Parker Jewish SNF",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Port Washington Dialysis",5164843460
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Queens Long Island Renal",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, NSN St Francis Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN St Francis Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN St Francis Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, NSN True North Dialysis",5169210914
"PRINE HEALTH MEDICAL GROUP PLLC, NN Freeport Kidney Center",5166231786
"PRINE HEALTH MEDICAL GROUP PLLC, NN Fresenius Dialysis Ctr Bellmore",5167852093
"PRINE HEALTH MEDICAL GROUP PLLC, NN Fresenius Dialysis Ctr Hempstea",5164836702
"PRINE HEALTH MEDICAL GROUP PLLC, NN Garden Care Center",5167752100
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mercy Medical Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mercy Medical Hospital IP",5167052525
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mercy Medical Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mount Sinai South Nassau ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mount Sinai South Nassau IP",5166323000
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mount Sinai South Nassau OP",
"PRINE HEALTH MEDICAL GROUP PLLC, NN South Nassau OP Dialysis Center",5162558000
"PRINE HEALTH MEDICAL GROUP PLLC, NN St Joseph Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, NN St Joseph Hospital IP",5165796000
"PRINE HEALTH MEDICAL GROUP PLLC, NN St Joseph Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Floral Park Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Freeport Kidney Center",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Fresenius Dialysis Ctr Bellmore",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Fresenius Ctr Hempstead",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Fresenius Kidney Care Hicksvill",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Huntington Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mercy Medical Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mercy Medical Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mercy Medical Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Northwell Health System ER",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Northwell Health System IP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Northwell Health System OP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Queens Village Dialysis Center",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mount Sinai South Nassau ER",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mount Sinai South Nassau IP",5166323000
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Mount Sinai South Nassau OP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP South Nassau OP Dialysis Center",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP St Joseph Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP St Joseph Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP St Joseph Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Woodmere Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Woodmere Rehab and Health SNF",5163749300
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Freeport Kidney Center",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA LIJ Med Ctr Satellite Dialysis",5168766000
"PRINE HEALTH MEDICAL GROUP PLLC, RCA LIJ Valley Stream ER",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA LIJ Valley Stream IP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA LIJ Valley Stream OP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Lynbrook Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mercy Medical Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mercy Medical Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mercy Medical Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Queens Village Dialysis Center",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mount Sinai South Nassau ER",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mount Sinai South Nassau IP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Mount Sinai South Nassau OP",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA South Nassau Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Woodmere Rehab and Health SNF",5163749300
"PRINE HEALTH MEDICAL GROUP PLLC, LS Freeport Kidney Center",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Fresenius Dialysis Ctr Bellmore",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Fresenius Dialysis Ctr Hempstea",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Meadowbrook Care Center",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mercy Medical Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mercy Medical Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mercy Medical Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mount Sinai South Nassau ER",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mount Sinai South Nassau IP",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mount Sinai South Nassau OP",
"PRINE HEALTH MEDICAL GROUP PLLC, LS South Nassau OP Dialysis Center",
"PRINE HEALTH MEDICAL GROUP PLLC, LR Queens Village Dialysis Center",
"PRINE HEALTH MEDICAL GROUP PLLC, LR St Francis Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, LR St Francis Hospital IP",
"PRINE HEALTH MEDICAL GROUP PLLC, LR St Francis Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, .NSN Hillside Internal Medicine",7183437600
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Woodmere Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Fresenius Dialysis Ctr Bellmore",
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC PRINE Primary Care A",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Oyster Bay Davita Dialysis",5168271370
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC PRINE Primary Care B",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Bayview Manor Llc",
"PRINE HEALTH MEDICAL GROUP PLLC, MICS Location",
"PRINE HEALTH MEDICAL GROUP PLLC, LR Port Washington Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, LR Floral Park Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, LR Garden City Dialysis Center",5167752100
"PRINE HEALTH MEDICAL GROUP PLLC, NN Mount Sinai South Nassau TCU",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Fresenius Fresh Meadows",7189693293
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Davita Little Neck Dialysis",7182923598
"PRINE HEALTH MEDICAL GROUP PLLC, .PP PRINE Podiatry RJ",5163654545
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Oyster Bay Davita Dialysis",5168271370
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Davita Long Island Renal Care",6315326969
"PRINE HEALTH MEDICAL GROUP PLLC, .S01 Sonogram Division",5164072727
"PRINE HEALTH MEDICAL GROUP PLLC, PP LIJ Hospital ER",
"PRINE HEALTH MEDICAL GROUP PLLC, PP LIJ Hospital OP",
"PRINE HEALTH MEDICAL GROUP PLLC, PP LIJ Hospital IP",
